pattern,lambda,velocities,rupture_times
sine,1,0.0,1.6908236195756703
sine,1,0.1,1.7190040132352649
sine,1,1.0,2.338972673746344
sine,1,10.0,2.2544314927675604
sine,2,0.0,0.39452551123432306
sine,2,0.1,0.39452551123432306
sine,2,1.0,0.5917882668514847
sine,2,10.0,0.6763294478302682
sine,3,0.0,0.22544314927675604
sine,3,0.1,0.22544314927675604
sine,3,1.0,0.25362354293635053
sine,3,10.0,0.4508862985535121
linear,1,0.0,1.0144941717454021
linear,1,0.1,1.1835765337029693
linear,1,1.0,1.3244785020009417
linear,1,10.0,1.3808392893201307
linear,2,0.0,0.4790666922131066
linear,2,0.1,0.4790666922131066
linear,2,1.0,0.7045098414898626
linear,2,10.0,0.7608706288090517
linear,3,0.0,0.39452551123432306
linear,3,0.1,0.4227059048939176
linear,3,1.0,0.6763294478302682
linear,3,10.0,0.7608706288090517
